'Transaction_ID', 'User_ID', 'Merchant_Name', 'Txn_Category', 'Amt', 'Approved_Amt', 'Rejected_Amt', 'Txn_Type', 'Txn_Wallet', 'Txn_Status', 'Bill_Uploaded_Date', 'Claim_Raised_Date', 'Bill_Approved_Date', 'Rejection_Reason', 'Txn_Year', 'Txn_Month', 'Txn_Date', 'Rebate_Eligibility', 'Fuel_Surcharge', 'Rebate_Amount', 'Type', 'Manual_Txn', 'Approval_Status', 'SubmittedAt', 'ReimbursedAt', 'CancelledAt'
"7a9c5fd2-09a2-4646-92a6-8a14b3539094","3078ff95-fc4e-445a-94b9-71c0736edf41","Paytmdthrecharge Noida Upin","Other","0.0","375.0","0.0","DEBIT","FBA","SUCCESS","2022-09-02 18:08:57.403","1970-01-01 05:30:00.0","2023-02-06 11:32:55.664","","2022","SEPTEMBER","2022-09-02","true","false","112.5","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"13ca8d00-e86b-4ffc-9a01-a57fb17c8819","01016334-2379-491f-acb6-ebcc5b0c2d97","Karpaga Vinayaga Storeschennai Tnin","Food/Provisions","0.0","330.0","0.0","DEBIT","FBA","SUCCESS","2022-09-02 16:25:03.767","1970-01-01 05:30:00.0","2022-09-02 16:44:13.336","","2022","SEPTEMBER","2022-09-02","true","false","99.0","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"47461b0b-db59-4ba7-b19e-ddfaeeeb537e","01016334-2379-491f-acb6-ebcc5b0c2d97","Laksmi Farm Fresh Frui Chennai Tnin","Food/Provisions","0.0","220.0","0.0","DEBIT","FBA","SUCCESS","2022-09-02 20:58:28.037","1970-01-01 05:30:00.0","2022-09-04 21:28:52.036","","2022","SEPTEMBER","2022-09-02","true","false","66.0","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"d0de8232-e446-43bb-9517-d7dedbb8ab32","01016334-2379-491f-acb6-ebcc5b0c2d97","G Sitaraman And Co Chennai Tnin","Fuel & Travel","0.0","1000.0","0.0","DEBIT","FBA","SUCCESS","2022-09-02 21:21:17.343","1970-01-01 05:30:00.0","2022-09-04 21:28:35.703","","2022","SEPTEMBER","2022-09-02","true","false","300.0","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"b0562ce4-170f-4865-914c-cebda11e7d32","01016334-2379-491f-acb6-ebcc5b0c2d97","Tulika Childrens Book Chennai Tnin","Books & Periodicals","0.0","514.0","0.0","DEBIT","FBA","SUCCESS","2022-09-05 21:45:15.954","1970-01-01 05:30:00.0","2022-09-07 11:23:51.121","","2022","SEPTEMBER","2022-09-03","true","false","154.2","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"3e4d0426-a222-4f0d-a9f3-1ab857f38ebe","95741f52-7d37-4176-947a-3def3c34396c","Navin Kumaar Enterpris Chennai Tnin","Fuel & Travel","0.0","0.0","0.0","DEBIT","FBA","SUCCESS","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","SEPTEMBER","2022-09-03","true","false","0.0","T","false","BILL UPLOAD PENDING","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"2f44a681-acbf-46f2-a817-92eda0a90c49","3078ff95-fc4e-445a-94b9-71c0736edf41","Swiggy Bangalore Kain","Food/Provisions","0.0","0.0","0.0","CREDIT","TA","SUCCESS","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","SEPTEMBER","2022-09-03","false","false","0.0","T","false","","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"828f910b-33c8-4df7-b890-fcb1522e422b","95741f52-7d37-4176-947a-3def3c34396c","Zomato Media Pri Ltd Rdelhi Dlin","Other","0.0","170.0","0.0","DEBIT","TA","SUCCESS","2022-09-03 19:09:54.257","1970-01-01 05:30:00.0","2022-09-04 21:24:53.088","","2022","SEPTEMBER","2022-09-03","false","false","0.0","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"db7bad5d-cc3c-4838-b722-2f8902449080","3078ff95-fc4e-445a-94b9-71c0736edf41","Swiggy Bengaluru Kain","Food/Provisions","0.0","504.0","0.0","DEBIT","FBA","SUCCESS","2022-09-04 12:25:41.068","1970-01-01 05:30:00.0","2022-09-04 21:24:15.323","","2022","SEPTEMBER","2022-09-03","true","false","151.2","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"3e8e3ec1-c0c9-41d6-9cd0-cea803a2e881","3078ff95-fc4e-445a-94b9-71c0736edf41","Swiggy Bangalore Kain","Food/Provisions","0.0","147.0","0.0","DEBIT","FBA","SUCCESS","2022-09-04 12:24:56.761","1970-01-01 05:30:00.0","2022-09-04 21:23:27.868","","2022","SEPTEMBER","2022-09-03","true","false","44.1","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
